"Label (Grouping)","HOUSEHOLDS BY TYPE!!Total households!!Average household size","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old","EDUCATIONAL ATTAINMENT!!Population 25 years and over","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree","COMPUTERS AND INTERNET USE!!Total households!!With a computer","COMPUTERS AND INTERNET USE!!Total households!!With a broadband Internet subscription"
"    Estimate","3.00","N","N","N","N","N","54,413","2,577","11,674","9,955","6,680","3,259","13,627","6,641","22,092","20,553"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","54,413","4.7%","21.5%","18.3%","12.3%","6.0%","25.0%","12.2%","96.5%","89.8%"
"Gainesville city, Florida","","","","","","","","","","","","","","","",""
"    Estimate","2.32","N","N","N","N","N","72,323","1,652","3,512","13,275","12,879","7,636","17,776","15,593","50,310","44,932"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","72,323","2.3%","4.9%","18.4%","17.8%","10.6%","24.6%","21.6%","96.8%","86.4%"
"Hialeah city, Florida","","","","","","","","","","","","","","","",""
"    Estimate","3.05","1,819","26","0","85","3","171,020","29,448","24,947","52,435","17,159","15,151","21,871","10,009","65,414","57,015"
"    Percent","(X)","1,819","(X)","(X)","(X)","(X)","171,020","17.2%","14.6%","30.7%","10.0%","8.9%","12.8%","5.9%","86.1%","75.0%"
"Hollywood city, Florida","","","","","","","","","","","","","","","",""
"    Estimate","2.78","1,119","27","0","54","20","110,296","4,037","6,695","33,473","21,222","12,139","20,507","12,223","53,121","49,760"
"    Percent","(X)","1,119","(X)","(X)","(X)","(X)","110,296","3.7%","6.1%","30.3%","19.2%","11.0%","18.6%","11.1%","96.3%","90.2%"
"Homestead city, Florida","","","","","","","","","","","","","","","",""
"    Estimate","3.40","N","N","N","N","N","40,725","7,827","3,018","8,938","6,442","4,640","7,438","2,422","19,829","18,742"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","40,725","19.2%","7.4%","21.9%","15.8%","11.4%","18.3%","5.9%","97.6%","92.2%"
"Jacksonville city, Florida","","","","","","","","","","","","","","","",""
"    Estimate","2.54","12,139","37","13","85","31","624,232","20,302","41,961","182,477","133,422","64,201","120,333","61,536","326,919","307,841"
"    Percent","(X)","12,139","(X)","(X)","(X)","(X)","624,232","3.3%","6.7%","29.2%","21.4%","10.3%","19.3%","9.9%","93.6%","88.2%"
"Jupiter town, Florida","","","","","","","","","","","","","","","",""
"    Estimate","2.43","N","N","N","N","N","47,801","1,257","1,500","8,649","7,529","4,813","14,753","9,300","26,118","25,083"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","47,801","2.6%","3.1%","18.1%","15.8%","10.1%","30.9%","19.5%","96.9%","93.0%"
"Kendall CDP, Florida","","","","","","","","","","","","","","","",""
"    Estimate","2.76","833","0","0","44","56","60,726","2,269","3,025","12,176","10,493","5,973","15,991","10,799","27,570","24,243"
"    Percent","(X)","833","(X)","(X)","(X)","(X)","60,726","3.7%","5.0%","20.1%","17.3%","9.8%","26.3%","17.8%","96.4%","84.7%"
"Kissimmee city, Florida","","","","","","","","","","","","","","","",""
"    Estimate","3.18","N","N","N","N","N","47,953","6,305","3,192","13,650","8,003","6,300","7,627","2,876","21,010","17,889"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","47,953","13.1%","6.7%","28.5%","16.7%","13.1%","15.9%","6.0%","92.5%","78.8%"
"Lakeland city, Florida","","","","","","","","","","","","","","","",""
"    Estimate","2.67","628","20","0","54","4","77,016","2,793","6,468","24,174","17,546","7,582","12,240","6,213","36,140","31,193"
"    Percent","(X)","628","(X)","(X)","(X)","(X)","77,016","3.6%","8.4%","31.4%","22.8%","9.8%","15.9%","8.1%","89.8%","77.5%"
"Largo city, Florida","","","","","","","","","","","","","","","",""
"    Estimate","2.49","N","N","N","N","N","63,980","2,397","5,188","18,831","15,004","6,055","11,494","5,011","31,431","28,298"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","63,980","3.7%","8.1%","29.4%","23.5%","9.5%","18.0%","7.8%","93.3%","84.0%"
"Lauderhill city, Florida","","","","","","","","","","","","","","","",""
"    Estimate","2.90","N","N","N","N","N","47,493","1,848","4,158","19,175","8,033","3,499","6,713","4,067","22,140","20,245"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","47,493","3.9%","8.8%","40.4%","16.9%","7.4%","14.1%","8.6%","89.9%","82.2%"
"Lehigh Acres CDP, Florida","","","","","","","","","","","","","","","",""
"    Estimate","3.48","2,347","69","19","126","38","88,429","7,827","10,293","31,073","13,405","9,920","10,987","4,924","37,703","33,161"
"    Percent","(X)","2,347","(X)","(X)","(X)","(X)","88,429","8.9%","11.6%","35.1%","15.2%","11.2%","12.4%","5.6%","97.5%","85.8%"
"Melbourne city, Florida","","","","","","","","","","","","","","","",""
"    Estimate","2.54","1,393","33","0","113","47","60,637","1,218","4,275","19,424","12,982","6,968","10,272","5,498","28,690","27,670"
"    Percent","(X)","1,393","(X)","(X)","(X)","(X)","60,637","2.0%","7.1%","32.0%","21.4%","11.5%","16.9%","9.1%","90.6%","87.3%"
"Miami city, Florida","","","","","","","","","","","","","","","",""
"    Estimate","2.43","5,470","28","0","79","25","358,957","43,919","34,464","94,729","46,942","26,355","68,799","43,749","173,640","133,863"
"    Percent","(X)","5,470","(X)","(X)","(X)","(X)","358,957","12.2%","9.6%","26.4%","13.1%","7.3%","19.2%","12.2%","91.8%","70.8%"
"Miami Beach city, Florida","","","","","","","","","","","","","","","",""
"    Estimate","2.20","1,050","52","19","94","11","68,784","4,745","4,350","13,613","8,042","6,886","17,774","13,374","37,772","32,521"
"    Percent","(X)","1,050","(X)","(X)","(X)","(X)","68,784","6.9%","6.3%","19.8%","11.7%","10.0%","25.8%","19.4%","94.2%","81.1%"
"Miami Gardens city, Florida","","","","","","","","","","","","","","","",""
"    Estimate","3.38","1,082","55","63","69","0","73,124","9,780","6,339","26,654","14,486","6,565","6,410","2,890","29,692","23,502"
"    Percent","(X)","1,082","(X)","(X)","(X)","(X)","73,124","13.4%","8.7%","36.5%","19.8%","9.0%","8.8%","4.0%","92.3%","73.1%"
"Miramar city, Florida","","","","","","","","","","","","","","","",""
"    Estimate","3.54","934","4","0","30","23","94,134","4,256","3,675","36,426","15,127","11,291","13,446","9,913","39,283","34,048"
"    Percent","(X)","934","(X)","(X)","(X)","(X)","94,134","4.5%","3.9%","38.7%","16.1%","12.0%","14.3%","10.5%","98.6%","85.4%"
"North Port city, Florida","","","","","","","","","","","","","","","",""
"    Estimate","2.71","N","N","N","N","N","49,590","649","4,268","14,359","12,624","5,697","7,081","4,912","25,404","23,984"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","49,590","1.3%","8.6%","29.0%","25.5%","11.5%","14.3%","9.9%","97.7%","92.2%"
"Orlando city, Florida","","","","","","","","","","","","","","","",""
"    Estimate","2.61","4,137","15","7","76","26","202,964","7,176","9,690","48,435","32,729","21,831","56,502","26,601","104,724","100,339"
"    Percent","(X)","4,137","(X)","(X)","(X)","(X)","202,964","3.5%","4.8%","23.9%","16.1%","10.8%","27.8%","13.1%","95.7%","91.7%"
"Palm Bay city, Florida","","","","","","","","","","","","","","","",""
"    Estimate","2.99","1,975","22","0","91","104","83,749","1,617","5,720","29,021","21,056","9,222","10,905","6,208","35,632","33,834"
"    Percent","(X)","1,975","(X)","(X)","(X)","(X)","83,749","1.9%","6.8%","34.7%","25.1%","11.0%","13.0%","7.4%","92.5%","87.9%"
"Palm Coast city, Florida","","","","","","","","","","","","","","","",""
"    Estimate","2.63","N","N","N","N","N","69,299","2,229","4,494","24,519","15,606","6,089","10,857","5,505","32,009","25,878"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","69,299","3.2%","6.5%","35.4%","22.5%","8.8%","15.7%","7.9%","93.9%","75.9%"
"Pembroke Pines city, Florida","","","","","","","","","","","","","","","",""
"    Estimate","3.01","1,209","27","0","69","10","121,211","4,909","4,862","39,640","19,048","10,809","27,409","14,534","55,075","48,749"
"    Percent","(X)","1,209","(X)","(X)","(X)","(X)","121,211","4.0%","4.0%","32.7%","15.7%","8.9%","22.6%","12.0%","96.0%","84.9%"
"Pine Hills CDP, Florida","","","","","","","","","","","","","","","",""
"    Estimate","3.86","N","N","N","N","N","59,603","4,140","10,821","18,828","12,820","4,731","5,665","2,598","23,582","19,525"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","59,603","6.9%","18.2%","31.6%","21.5%","7.9%","9.5%","4.4%","96.2%","79.7%"
"Plantation city, Florida","","","","","","","","","","","","","","","",""
"    Estimate","2.60","N","N","N","N","N","69,636","2,584","3,407","12,281","13,958","9,665","17,258","10,483","35,413","34,292"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","69,636","3.7%","4.9%","17.6%","20.0%","13.9%","24.8%","15.1%","97.8%","94.7%"
"Poinciana CDP, Florida","","","","","","","","","","","","","","","",""
"    Estimate","3.58","N","N","N","N","N","45,533","1,252","4,922","13,541","11,026","8,028","3,082","3,682","19,182","17,394"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","45,533","2.7%","10.8%","29.7%","24.2%","17.6%","6.8%","8.1%","94.8%","85.9%"
"Pompano Beach city, Florida","","","","","","","","","","","","","","","",""
"    Estimate","2.44","1,119","25","0","105","34","86,151","8,495","8,498","21,823","15,631","6,238","15,905","9,561","38,726","35,979"
"    Percent","(X)","1,119","(X)","(X)","(X)","(X)","86,151","9.9%","9.9%","25.3%","18.1%","7.2%","18.5%","11.1%","87.4%","81.2%"
"Port Charlotte CDP, Florida","","","","","","","","","","","","","","","",""
"    Estimate","2.69","N","N","N","N","N","51,446","1,816","5,367","18,740","11,110","5,229","6,219","2,965","22,425","21,014"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","51,446","3.5%","10.4%","36.4%","21.6%","10.2%","12.1%","5.8%","92.0%","86.2%"
"Port St. Lucie city, Florida","","","","","","","","","","","","","","","",""
"    Estimate","2.94","2,094","26","13","34","68","144,282","6,374","10,596","46,906","30,071","16,355","23,321","10,659","66,710","64,761"
"    Percent","(X)","2,094","(X)","(X)","(X)","(X)","144,282","4.4%","7.3%","32.5%","20.8%","11.3%","16.2%","7.4%","97.4%","94.6%"
"Riverview CDP, Florida","","","","","","","","","","","","","","","",""
"    Estimate","2.70","975","23","34","75","11","67,105","2,962","2,780","19,541","10,948","9,583","14,260","7,031","35,320","34,023"
"    Percent","(X)","975","(X)","(X)","(X)","(X)","67,105","4.4%","4.1%","29.1%","16.3%","14.3%","21.3%","10.5%","98.2%","94.6%"
"St. Petersburg city, Florida","","","","","","","","","","","","","","","",""
"    Estimate","2.35","2,119","8","0","47","32","200,995","3,403","9,861","48,901","39,620","20,980","49,359","28,871","103,664","99,041"
"    Percent","(X)","2,119","(X)","(X)","(X)","(X)","200,995","1.7%","4.9%","24.3%","19.7%","10.4%","24.6%","14.4%","93.9%","89.7%"
"Spring Hill CDP, Florida","","","","","","","","","","","","","","","",""
"    Estimate","2.57","N","N","N","N","N","82,446","2,106","7,030","26,593","21,037","9,234","11,363","5,083","42,155","41,207"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","82,446","2.6%","8.5%","32.3%","25.5%","11.2%","13.8%","6.2%","96.5%","94.3%"
"Sunrise city, Florida","","","","","","","","","","","","","","","",""
"    Estimate","2.40","N","N","N","N","N","72,741","3,061","3,507","24,130","13,695","9,178","13,292","5,878","37,900","34,631"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","72,741","4.2%","4.8%","33.2%","18.8%","12.6%","18.3%","8.1%","96.1%","87.8%"
"Tallahassee city, Florida","","","","","","","","","","","","","","","",""
"    Estimate","2.33","1,065","3","5","25","6","105,464","2,540","5,065","18,044","20,547","8,563","27,646","23,059","74,178","69,048"
"    Percent","(X)","1,065","(X)","(X)","(X)","(X)","105,464","2.4%","4.8%","17.1%","19.5%","8.1%","26.2%","21.9%","96.7%","90.0%"
"Tamarac city, Florida","","","","","","","","","","","","","","","",""
"    Estimate","2.54","N","N","N","N","N","49,039","1,458","3,639","16,400","11,867","5,306","7,495","2,874","24,195","21,444"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","49,039","3.0%","7.4%","33.4%","24.2%","10.8%","15.3%","5.9%","92.6%","82.1%"
"Tampa city, Florida","","","","","","","","","","","","","","","",""
"    Estimate","2.52","4,111","25","14","61","22","272,772","15,464","17,160","68,517","39,907","19,760","64,832","47,132","146,601","139,074"
"    Percent","(X)","4,111","(X)","(X)","(X)","(X)","272,772","5.7%","6.3%","25.1%","14.6%","7.2%","23.8%","17.3%","95.2%","90.4%"
"The Hammocks CDP, Florida","","","","","","","","","","","","","","","",""
"    Estimate","3.34","1,579","32","0","159","74","44,164","2,299","1,078","8,647","6,246","5,465","14,853","5,576","19,492","19,107"
"    Percent","(X)","1,579","(X)","(X)","(X)","(X)","44,164","5.2%","2.4%","19.6%","14.1%","12.4%","33.6%","12.6%","99.4%","97.4%"
"The Villages CDP, Florida","","","","","","","","","","","","","","","",""
"    Estimate","1.83","N","N","N","N","N","84,986","0","1,712","19,801","18,205","10,387","21,329","13,552","45,778","43,398"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","84,986","0.0%","2.0%","23.3%","21.4%","12.2%","25.1%","15.9%","98.0%","92.9%"
"Town 'n' Country CDP, Florida","","","","","","","","","","","","","","","",""
"    Estimate","2.96","1,572","6","0","86","59","69,857","2,831","4,190","22,518","11,684","6,674","14,949","7,011","32,589","31,425"
"    Percent","(X)","1,572","(X)","(X)","(X)","(X)","69,857","4.1%","6.0%","32.2%","16.7%","9.6%","21.4%","10.0%","98.1%","94.6%"
"Wellington village, Florida","","","","","","","","","","","","","","","",""
"    Estimate","2.91","N","N","N","N","N","45,435","648","623","10,942","8,646","5,947","10,971","7,658","22,003","21,497"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","45,435","1.4%","1.4%","24.1%","19.0%","13.1%","24.1%","16.9%","97.8%","95.5%"
"Wesley Chapel CDP, Florida","","","","","","","","","","","","","","","",""
"    Estimate","3.03","N","N","N","N","N","40,925","764","1,113","7,641","8,243","4,042","11,967","7,155","20,463","20,091"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","40,925","1.9%","2.7%","18.7%","20.1%","9.9%","29.2%","17.5%","99.4%","97.6%"
"Weston city, Florida","","","","","","","","","","","","","","","",""
"    Estimate","3.49","N","N","N","N","N","45,745","423","80","8,474","5,279","2,829","16,149","12,511","20,420","N"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","45,745","0.9%","0.2%","18.5%","11.5%","6.2%","35.3%","27.3%","100.0%","N"
"West Palm Beach city, Florida","","","","","","","","","","","","","","","",""
"    Estimate","2.61","1,453","31","24","85","7","77,374","6,023","4,951","18,465","15,804","6,647","14,808","10,676","40,083","36,008"
"    Percent","(X)","1,453","(X)","(X)","(X)","(X)","77,374","7.8%","6.4%","23.9%","20.4%","8.6%","19.1%","13.8%","96.2%","86.4%"
"Albany city, Georgia","","","","","","","","","","","","","","","",""
"    Estimate","2.59","N","N","N","N","N","43,010","1,905","6,135","12,951","10,618","3,981","3,405","4,015","21,127","18,418"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","43,010","4.4%","14.3%","30.1%","24.7%","9.3%","7.9%","9.3%","82.4%","71.8%"
"Alpharetta city, Georgia","","","","","","","","","","","","","","","",""
"    Estimate","2.63","1,110","0","0","141","51","47,305","262","812","3,527","5,513","1,717","20,079","15,395","24,565","23,729"
"    Percent","(X)","1,110","(X)","(X)","(X)","(X)","47,305","0.6%","1.7%","7.5%","11.7%","3.6%","42.4%","32.5%","96.7%","93.5%"
"Athens-Clarke County unified government (balance), Georgia","","","","","","","","","","","","","","","",""
"    Estimate","2.22","N","N","N","N","N","70,838","1,572","4,675","11,318","12,106","6,972","17,400","16,795","48,209","44,248"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","70,838","2.2%","6.6%","16.0%","17.1%","9.8%","24.6%","23.7%","93.4%","85.7%"
"Atlanta city, Georgia","","","","","","","","","","","","","","","",""
"    Estimate","2.09","5,130","24","0","43","30","352,740","5,738","20,872","59,992","48,044","18,850","113,599","85,645","210,475","196,690"
"    Percent","(X)","5,130","(X)","(X)","(X)","(X)","352,740","1.6%","5.9%","17.0%","13.6%","5.3%","32.2%","24.3%","94.1%","87.9%"
"Augusta-Richmond County consolidated government (balance), Georgia","","","","","","","","","","","","","","","",""
"    Estimate","2.80","3,074","55","91","85","25","129,927","5,124","11,590","45,551","29,995","11,398","16,111","10,158","61,507","54,874"
"    Percent","(X)","3,074","(X)","(X)","(X)","(X)","129,927","3.9%","8.9%","35.1%","23.1%","8.8%","12.4%","7.8%","92.0%","82.1%"
"Columbus city, Georgia","","","","","","","","","","","","","","","",""
"    Estimate","2.59","2,093","20","0","78","21","127,592","4,825","9,385","33,601","34,249","13,996","16,638","14,898","66,651","61,700"
"    Percent","(X)","2,093","(X)","(X)","(X)","(X)","127,592","3.8%","7.4%","26.3%","26.8%","11.0%","13.0%","11.7%","91.1%","84.4%"
"Johns Creek city, Georgia","","","","","","","","","","","","","","","",""
"    Estimate","2.94","1,005","0","0","48","59","54,999","1,198","586","4,728","6,733","3,454","21,761","16,539","28,447","28,195"
"    Percent","(X)","1,005","(X)","(X)","(X)","(X)","54,999","2.2%","1.1%","8.6%","12.2%","6.3%","39.6%","30.1%","99.3%","98.5%"
"Macon-Bibb County, Georgia","","","","","","","","","","","","","","","",""
"    Estimate","2.60","1,815","44","0","101","11","100,417","4,058","9,067","30,714","24,417","7,148","13,643","11,370","49,968","46,527"
"    Percent","(X)","1,815","(X)","(X)","(X)","(X)","100,417","4.0%","9.0%","30.6%","24.3%","7.1%","13.6%","11.3%","88.1%","82.0%"
"Roswell city, Georgia","","","","","","","","","","","","","","","",""
"    Estimate","2.62","1,684","0","0","101","95","65,754","1,227","2,554","7,262","10,998","3,380","25,028","15,305","34,867","34,516"
"    Percent","(X)","1,684","(X)","(X)","(X)","(X)","65,754","1.9%","3.9%","11.0%","16.7%","5.1%","38.1%","23.3%","97.0%","96.0%"
"Sandy Springs city, Georgia","","","","","","","","","","","","","","","",""
"    Estimate","2.06","976","0","0","43","26","80,801","2,274","1,334","7,200","10,213","2,820","31,890","25,070","51,811","49,564"
